Neighborhood,Latitude,Longitude,City,1th Most Common Venues,2th Most Common Venues,3th Most Common Venues,4th Most Common Venues,5th Most Common Venues,6th Most Common Venues,7th Most Common Venues,8th Most Common Venues,9th Most Common Venues,10th Most Common Venues,Cluster
Briarwood,40.71093547252271,-73.81174822458634,NYC,Playground,Coffee Shop,Plaza,Deli / Bodega,Bus Station,Convenience Store,Indian Restaurant,Arts & Crafts Store,Fast Food Restaurant,Farmers Market,0
Oakwood,40.5584622432888,-74.12156593771896,NYC,Nightlife Spot,Bar,Bus Station,Lawyer,Playground,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,0
Bayswater,40.611321691283834,-73.76596781445627,NYC,Playground,Yoga Studio,Electronics Store,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,0
Riverdale,40.890834493891305,-73.9125854610857,NYC,Bus Station,Plaza,Bank,Park,Gym,Playground,Yoga Studio,Escape Room,Ethiopian Restaurant,Event Service,0
Country Club,40.844245936947374,-73.8240992675385,NYC,Playground,Chinese Restaurant,Trail,Athletics & Sports,Moving Target,Sandwich Place,Ethiopian Restaurant,Escape Room,Farmers Market,Event Space,0
Port Ivory,40.63968297845542,-74.17464532993542,NYC,Bar,Bus Station,Yoga Studio,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,0
"Moore Park, Summerhill East",43.6895743,-79.38315990000001,Toronto,Tennis Court,Trail,Park,Playground,Electronics Store,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,0
Dyker Heights,40.619219457722636,-74.01931375636022,NYC,Bagel Shop,Park,Burger Joint,Playground,Yoga Studio,Field,Ethiopian Restaurant,Event Service,Event Space,Exhibit,0
Pomonok,40.73493618075478,-73.80486120040537,NYC,Playground,Supermarket,Halal Restaurant,Bar,Park,Pizza Place,Bakery,Japanese Restaurant,Bowling Alley,Farm,0
Grymes Hill,40.624184791313006,-74.08724819983729,NYC,Dog Run,Yoga Studio,Empanada Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,1
Midtown,40.75469110270623,-73.98166882730304,NYC,Hotel,Clothing Store,Spa,Theater,Sushi Restaurant,Bookstore,Bakery,Coffee Shop,Food Truck,Massage Studio,2
Murray Hill,40.748303077252174,-73.97833207924127,NYC,Korean Restaurant,Coffee Shop,Gym / Fitness Center,Hotel,Japanese Restaurant,Pizza Place,Bank,Spa,Sushi Restaurant,Taco Place,2
